,Academic Reputation,Citations Per Paper,Employer Reputation,H-Index Citations,Name,Overall Score,Rank,URL
174,59.2,76.7,61.6,68.7,Technische Universität Braunschweig,,151-200,https://www.topuniversities.com/universities/technische-universit%C3%A4t-braunschweig
175,59.3,71.5,64,62.3,Graz University of Technology,,151-200,https://www.topuniversities.com/universities/graz-university-technology
176,64.5,60,70.3,52.7,Instituto Tecnológico y de Estudios Superiores de Monterrey,,151-200,https://www.topuniversities.com/universities/instituto-tecnol%C3%B3gico-y-de-estudios-superiores-de-monterrey
177,60.8,75.2,70.2,63.5,The University of Adelaide,,151-200,https://www.topuniversities.com/universities/university-adelaide
178,60.7,77.6,67.1,68.7,The University of Warwick,,151-200,https://www.topuniversities.com/universities/university-warwick
179,55.1,75,68.5,80.9,Tianjin University,,151-200,https://www.topuniversities.com/universities/tianjin-university
180,56,71.6,71,78.3,Tongji University,,151-200,https://www.topuniversities.com/universities/tongji-university
181,64.2,68.9,69.7,54.3,Universidad Nacional Autónoma de México  (UNAM),,151-200,https://www.topuniversities.com/universities/universidad-nacional-aut%C3%B3noma-de-m%C3%A9xico-unam
182,58,77.6,61.9,69.6,Università di Padova,,151-200,https://www.topuniversities.com/universities/universit%C3%A0%C2%A0di-padova
183,60.1,75.7,63.6,64.6,Universitat de Barcelona,,151-200,https://www.topuniversities.com/universities/universitat-de-barcelona
184,59.7,84.5,56.9,79,Friedrich-Alexander-Universität Erlangen-Nürnberg,,151-200,https://www.topuniversities.com/universities/friedrich-alexander-universit%C3%A4t-erlangen-n%C3%BCrnberg
185,62.6,59.9,74.2,52.7,Universiti Teknologi MARA - UiTM,,151-200,https://www.topuniversities.com/universities/universiti-teknologi-mara-uitm
186,65.4,64.6,67.7,62.3,Universiti Teknologi Petronas (Petronas),,151-200,https://www.topuniversities.com/universities/universiti-teknologi-petronas-petronas
187,60.4,80.6,63.4,73.1,University of Alberta,,151-200,https://www.topuniversities.com/universities/university-alberta
188,54.6,82.9,60.9,75.4,University of Colorado Boulder,,151-200,https://www.topuniversities.com/universities/university-colorado-boulder
189,59.4,70.5,74.1,58.6,The University of Edinburgh,,151-200,https://www.topuniversities.com/universities/university-edinburgh
190,61.3,82.3,57,79,University of Florida,,151-200,https://www.topuniversities.com/universities/university-florida
191,60.7,72.8,59,68.7,University of Glasgow,,151-200,https://www.topuniversities.com/universities/university-glasgow
192,59.1,85.9,61,73.1,University of Liverpool,,151-200,https://www.topuniversities.com/universities/university-liverpool
193,53.1,76.1,66.5,68.7,University of Patras,,151-200,https://www.topuniversities.com/universities/university-patras
194,52.1,84.3,62.3,70.5,University of Porto,,151-200,https://www.topuniversities.com/universities/university-porto
195,53.1,72.4,75.3,65.7,University of Technology Sydney,,151-200,https://www.topuniversities.com/universities/university-technology-sydney
196,61.9,81.6,56.2,71.4,University of Twente,,151-200,https://www.topuniversities.com/universities/university-twente
197,52.4,82.4,71.1,68.7,University of Wollongong,,151-200,https://www.topuniversities.com/universities/university-wollongong
198,63.2,72.6,61.4,65.7,Warsaw University of Technology,,151-200,https://www.topuniversities.com/universities/warsaw-university-technology
199,39.9,79.5,79.6,76.9,Wuhan University,,151-200,https://www.topuniversities.com/universities/wuhan-university
200,53.1,69,64.9,57.2,Aarhus University,,201-250,https://www.topuniversities.com/universities/aarhus-university
201,51.6,72,60.5,73.9,Beijing Jiaotong University,,201-250,https://www.topuniversities.com/universities/beijing-jiaotong-university
