,Academic Reputation,Citations Per Paper,Employer Reputation,H-Index Citations,Name,Overall Score,Rank,URL
227,43,80.5,56.5,83.7,South China University of Technology,,201-250,https://www.topuniversities.com/universities/south-china-university-technology
228,44.4,80.9,66.8,67.5,Tokyo University of Science,,201-250,https://www.topuniversities.com/universities/tokyo-university-science
229,60.5,38.4,75.1,35.2,National Research Tomsk Polytechnic University,,201-250,https://www.topuniversities.com/universities/national-research-tomsk-polytechnic-university
230,39.4,81.3,61.5,78.6,Tongji University,,201-250,https://www.topuniversities.com/universities/tongji-university
231,51.9,80,60.6,61.5,Universidad Autónoma de Madrid,,201-250,https://www.topuniversities.com/universities/universidad-aut%C3%B3noma-de-madrid
232,58.5,66.3,54.2,56.4,Universidad Autónoma Metropolitana (UAM),,201-250,https://www.topuniversities.com/universities/universidad-aut%C3%B3noma-metropolitana-uam
233,59.4,53.1,67,47.5,Universidad de Chile,,201-250,https://www.topuniversities.com/universities/universidad-de-chile
234,58.2,68.9,54.1,57.5,Universidade Federal de São Carlos (UFSCAR),,201-250,https://www.topuniversities.com/universities/universidade-federal-de-s%C3%A3o-carlos-ufscar
235,52.7,75.8,52.3,62.4,Universidade Federal do Rio Grande Do Sul ,,201-250,https://www.topuniversities.com/universities/universidade-federal-do-rio-grande-do-sul
236,54.1,76.6,57.8,67.5,Università di Padova,,201-250,https://www.topuniversities.com/universities/universit%C3%A0%C2%A0di-padova
237,51.5,68.7,63.1,56.4,Universitat Politècnica de Catalunya ,,201-250,https://www.topuniversities.com/universities/universitat-polit%C3%A8cnica-de-catalunya
238,47.7,80.7,52.1,70.5,Aix-Marseille University,,201-250,https://www.topuniversities.com/universities/aix-marseille-university
239,51.1,86.2,52.6,71.9,Université de Strasbourg,,201-250,https://www.topuniversities.com/universities/universit%C3%A9-de-strasbourg
240,43.7,72.5,67.6,58.5,University College Cork,,201-250,https://www.topuniversities.com/universities/university-college-cork
241,54.2,59.1,67,47.5,University of Aberdeen,,201-250,https://www.topuniversities.com/universities/university-aberdeen
242,58.3,74.3,54.6,58.5,University of Akron,,201-250,https://www.topuniversities.com/universities/university-akron
243,55.7,51.5,68.9,41.1,University of Canterbury,,201-250,https://www.topuniversities.com/universities/university-canterbury
244,45,80.2,60.7,72.5,University of Mumbai,,201-250,https://www.topuniversities.com/universities/university-mumbai
245,60.9,61.7,62.8,54.1,"The University of Newcastle, Australia (UON)",,201-250,https://www.topuniversities.com/universities/university-newcastle-australia-uon
246,57.3,69.3,56.5,57.5,University of Patras,,201-250,https://www.topuniversities.com/universities/university-patras
247,53.1,69.2,64.1,58.5,University of Strathclyde,,201-250,https://www.topuniversities.com/universities/university-strathclyde
248,45.4,82.2,57.5,68.3,"The University of Tennessee, Knoxville",,201-250,https://www.topuniversities.com/universities/university-tennessee-knoxville
249,46.7,88.3,46.1,85.5,Xiamen University,,201-250,https://www.topuniversities.com/universities/xiamen-university
250,60,70.4,32.8,58.5,Abo Akademi University,,251-300,https://www.topuniversities.com/universities/abo-akademi-university
251,40.5,71.9,60.6,60.5,Ajou University ,,251-300,https://www.topuniversities.com/universities/ajou-university
252,60.9,45.2,68.7,30.6,Bandung Institute of Technology (ITB),,251-300,https://www.topuniversities.com/universities/bandung-institute-technology-itb
253,47.7,69.8,41.5,71.9,China University of Petroleum,,251-300,https://www.topuniversities.com/universities/china-university-petroleum
254,41.4,76.2,59.2,71.2,Chungnam National University,,251-300,https://www.topuniversities.com/universities/chungnam-national-university
255,49.9,73.3,49,58.5,Drexel University,,251-300,https://www.topuniversities.com/universities/drexel-university
256,69.7,51.4,33.3,51.6,"École Nationale Supérieure des Industries Chimiques (ENSIC), Nancy",,251-300,https://www.topuniversities.com/universities/%C3%A9cole-nationale-sup%C3%A9rieure-des-industries-chimiques-ensic-nancy
257,34.4,83.9,50.9,71.2,Emory University,,251-300,https://www.topuniversities.com/universities/emory-university
258,47.9,76.5,44.1,64.2,Florida State University,,251-300,https://www.topuniversities.com/universities/florida-state-university
259,62.1,57.4,43.9,54.1,Illinois Institute of Technology,,251-300,https://www.topuniversities.com/universities/illinois-institute-technology
260,47,74.7,55.7,58.5,Johannes Gutenberg Universität Mainz,,251-300,https://www.topuniversities.com/universities/johannes-gutenberg-universit%C3%A4t-mainz
261,42.9,74.2,59.1,63.3,Konkuk University,,251-300,https://www.topuniversities.com/universities/konkuk-university
262,35.6,87.4,43.6,79.2,Lanzhou University,,251-300,https://www.topuniversities.com/universities/lanzhou-university
263,51.4,76.3,44.1,69.7,Nanjing University of Science and Technology,,251-300,https://www.topuniversities.com/universities/nanjing-university-science-technology
264,47.3,59.5,63.9,42.8,National Sun Yat-sen University,,251-300,https://www.topuniversities.com/universities/national-sun-yat-sen-university
265,46.9,70.1,58.6,58.5,Northeastern University,,251-300,https://www.topuniversities.com/universities/northeastern-university
266,44.1,66.3,52.4,57.5,Osaka Prefecture University,,251-300,https://www.topuniversities.com/universities/osaka-prefecture-university
267,47.4,63.8,63.8,54.1,Queen Mary University of London,,251-300,https://www.topuniversities.com/universities/queen-mary-university-london
268,53.1,65.3,47.3,51.6,Swansea University,,251-300,https://www.topuniversities.com/universities/swansea-university
269,49.4,74.7,48.2,65,Graz University of Technology,,251-300,https://www.topuniversities.com/universities/graz-university-technology
270,57.3,62.3,50.8,56.4,Technische Universität Hamburg-Harburg ,,251-300,https://www.topuniversities.com/universities/technische-universit%C3%A4t-hamburg-harburg
271,46.5,69.2,56.9,56.4,Tokyo Metropolitan University,,251-300,https://www.topuniversities.com/universities/tokyo-metropolitan-university
272,61.4,67.1,40.6,51.6,Tokyo University of Agriculture and Technology ,,251-300,https://www.topuniversities.com/universities/tokyo-university-agriculture-technology
273,45.4,75.6,44.7,59.5,Tufts University,,251-300,https://www.topuniversities.com/universities/tufts-university
274,58.4,46.9,64.9,39.2,Universidad de los Andes,,251-300,https://www.topuniversities.com/universities/universidad-de-los-andes
275,44.9,82.2,49.1,68.3,Universidad de Zaragoza,,251-300,https://www.topuniversities.com/universities/universidad-de-zaragoza
276,52.2,75.9,38.3,59.5,Universidade de Santiago de Compostela,,251-300,https://www.topuniversities.com/universities/universidade-de-santiago-de-compostela
277,54.9,43.5,71,39.2,Instituto Tecnológico y de Estudios Superiores de Monterrey,,251-300,https://www.topuniversities.com/universities/instituto-tecnol%C3%B3gico-y-de-estudios-superiores-de-monterrey
278,54.3,65.8,51.2,59.5,Universidade Federal de Santa Catarina ,,251-300,https://www.topuniversities.com/universities/universidade-federal-de-santa-catarina
279,46.9,69.9,59.6,60.5,University of Pisa,,251-300,https://www.topuniversities.com/universities/university-pisa
280,48.3,65.2,65.3,48.9,Universite libre de Bruxelles,,251-300,https://www.topuniversities.com/universities/universite-libre-de-bruxelles
281,46.5,77.7,51.2,69.7,University at Buffalo SUNY,,251-300,https://www.topuniversities.com/universities/university-buffalo-suny
282,53.1,70.7,51.5,56.4,The University of Arizona,,251-300,https://www.topuniversities.com/universities/university-arizona
283,54.9,80.7,40.8,65,University of Aveiro,,251-300,https://www.topuniversities.com/universities/university-aveiro
284,55.4,52.2,64.6,47.5,University of Cape Town,,251-300,https://www.topuniversities.com/universities/university-cape-town
285,50.6,63.2,57.7,50.3,University of Coimbra,,251-300,https://www.topuniversities.com/universities/university-coimbra
286,43.3,82.2,39.4,75.1,University of Connecticut,,251-300,https://www.topuniversities.com/universities/university-connecticut
287,43.4,65.5,65.8,54.1,University of Limerick,,251-300,https://www.topuniversities.com/universities/university-limerick
288,48.5,77.1,50.4,60.5,University of Minho,,251-300,https://www.topuniversities.com/universities/university-minho
289,49.3,51.1,66.3,46,University of Pretoria,,251-300,https://www.topuniversities.com/universities/university-pretoria
290,43.1,71.4,57.8,61.5,University of Saskatchewan,,251-300,https://www.topuniversities.com/universities/university-saskatchewan
291,56.1,72.8,38.7,67.5,University of Science and Technology Beijing,,251-300,https://www.topuniversities.com/universities/university-science-technology-beijing
292,41.3,62.8,61.2,62.4,University of Seoul ,,251-300,https://www.topuniversities.com/universities/university-seoul
293,48.3,78.2,50.7,68.3,University of South Carolina,,251-300,https://www.topuniversities.com/universities/university-south-carolina
294,54.3,60.2,52,47.5,University of Surrey,,251-300,https://www.topuniversities.com/universities/university-surrey
295,38.2,79.9,53.7,63.3,University of Texas Dallas,,251-300,https://www.topuniversities.com/universities/university-texas-dallas
296,42.5,58.4,66.3,48.9,University of the Witwatersrand,,251-300,https://www.topuniversities.com/universities/university-witwatersrand
297,55.1,84.7,30.3,72.5,University of Utah,,251-300,https://www.topuniversities.com/universities/university-utah
298,49.7,68.1,54.6,58.5,Warsaw University of Technology,,251-300,https://www.topuniversities.com/universities/warsaw-university-technology
299,45.8,91.3,34.9,79.2,Wuhan University of Technology,,251-300,https://www.topuniversities.com/universities/wuhan-university-technology
300,44.7,69.9,51.3,61.5,Yeungnam University,,251-300,https://www.topuniversities.com/universities/yeungnam-university
