,Academic Reputation,Country,Employer Reputation,International Faculty,Name,Number of Internal Students,Overall Score,Percent International PostGrad,Percent International UnderGrad,Percent Post Grad Students,Percent Undergraduate Students,Rank,Total Academic Faculty,Total Number of Students,URL
326,59.9,Brazil,77.8,19,Universidade Federal de Pernambuco (UFPE),249,,78%,22%,34%,66%,301-350,"2,609","37,557",https://www.topuniversities.com/universities/universidade-federal-de-pernambuco-ufpe
327,48.5,Italy,80.1,13,University of Genoa,"2,879",,32%,68%,38%,62%,301-350,"1,294","31,222",https://www.topuniversities.com/universities/university-genoa
328,44.5,Italy,83.8,89,"University of Rome ""Tor Vergata""","3,790",,38%,59%,14%,86%,301-350,"1,694","36,930",https://www.topuniversities.com/universities/university-rome-tor-vergata
329,44,Germany,80.7,120,Friedrich-Alexander-Universität Erlangen-Nürnberg,"4,462",,57%,43%,42%,58%,301-350,"1,058","38,111",https://www.topuniversities.com/universities/friedrich-alexander-universit%C3%A4t-erlangen-n%C3%BCrnberg
330,46.3,Germany,82.9,469,Universität Hamburg,"4,391",,62%,38%,52%,48%,301-350,"4,257","38,182",https://www.topuniversities.com/universities/universit%C3%A4t-hamburg
331,42.4,Germany,85.9,134,Universität  Leipzig,"3,510",,%,%,%,%,301-350,"2,475","28,907",https://www.topuniversities.com/universities/universit%C3%A4t-leipzig
332,58.2,France,77.4,219,Université Paris Diderot - Paris 7,"5,155",,53%,27%,50%,52%,301-350,"2,097","27,624",https://www.topuniversities.com/universities/universit%C3%A9-paris-diderot-paris-7
333,41.5,Belgium,82.6,628,University of Antwerp,"2,563",,55%,45%,40%,60%,301-350,"2,644","15,841",https://www.topuniversities.com/universities/university-antwerp
334,48.6,Norway,85.6,484,University of Bergen,767,,79%,21%,57%,43%,301-350,"1,513","10,671",https://www.topuniversities.com/universities/university-bergen
335,45.5,Switzerland,79.2,661,University of Bern,"1,618",,81%,19%,51%,49%,301-350,"1,172","10,758",https://www.topuniversities.com/universities/university-bern
