1st year fee in inr,1st year fee in pounds,application assessment fee inr ,application assessment fee pound ,application fee inr ,application fee pound ,bachelors,books cost inr,books cost pound,bus pass inr ,bus pass pound ,capstone project fee inr ,capstone project fee pound ,class 12th,college fee inr ,college fee pound ,college membership fee inr ,college membership fee pound ,collegename,course costs inr ,course costs pound ,course related costs inr ,course related costs pound ,coursename,deposit fee inr ,deposit fee pound ,duration,examination fee inr ,examination fee pound ,first year cost,general expenses inr ,general expenses pound ,gmat,gmat recommendation,gre,gre recommendation,health cost inr ,health cost pound ,hostel & meals inr ,hostel & meals pound ,housing deposit inr ,housing deposit pound ,ielts,ielts recommendation,insurance inr ,insurance pound ,level,living costs inr,living costs pound,location,misc costs inr,miscellaneous expense pound ,miscellaneous expenses pound ,miscellaneous pound ,mobile expense inr ,mobile expense pound ,nhs health surcharge inr ,nhs health surcharge pound ,orientation fees inr ,orientation fees pound ,other expenses inr ,other expenses pound ,payment administration inr ,payment administration pound ,personal expenses inr,personal expenses pound,placement companies,pte,pte recommendation,rank,residence booking fee inr ,residence booking fee pound ,schol link,schol text,security deposit inr ,security deposit pound ,shikshacourseurl,shishkacollegeurl,social and sporting activities inr ,social and sporting activities pound ,study costs inr ,study costs pound ,toefl recommendation,total inr ,total pound ,transportation inr ,transportation pound ,tuition deposit inr ,tuition deposit pound ,tuition fee deposit inr ,tuition fee deposit pound ,work experience
"Rs. 10,86,280","Pound 13,000",,,,,55%,,,,,,,No specific cutoff mentioned,,,,,Teesside University,,,,,Master of Business Administration,,,12 Months,,,Rs 10.8 Lakhs,,,,,,,,,,,,,6.5,,,,Masters Program,,,"Middlesbrough, UK",,,,,,,,,,,,,,,,,,58,,77,,,http://www.tees.ac.uk/sections/international/fees_funding.cfm,"['International students are eligible for International scholarships if they are a self-funded international (non-European Union) student studying on foundation, undergraduate or postgraduate programmes - not sponsored by their employer or government.']",,,https://studyabroad.shiksha.com/uk/universities/teesside-university/master-of-business-administration,https://studyabroad.shiksha.com/uk/universities/teesside-university?refCourseId=200105,,,,,,,,,,,,,,No work experience mentioned
"15,19,121","18,180",,,,,60%,,,,,,,No specific cutoff mentioned,,,,,University of Brighton,,,,,MBA,,,1 Years,,,Rs 20.2 Lakhs,,,Accepted,Not mandatory but will strengthen the application,,,,,"4,92,085","5,889",,,6.5,With 6.0 in the written test and a minimum of 5.5 in the other elements,,,Masters Program,,,"Brighton, UK",,,,,,,,,,,,,,,,,,,,78,,,http://www.brighton.ac.uk/international/applying-here/fees-and-scholarships/index.aspx,"['', ' University of Brighton offers a number of different scholarships to international students.']",,,https://studyabroad.shiksha.com/uk/universities/university-of-brighton/mba,https://studyabroad.shiksha.com/uk/universities/university-of-brighton?refCourseId=209697,,,,,,"Rs. 5,22,584","Pound 6,254","30,499",365,,,,,3years
"12,53,400","15,000",,,,,50%,,,,,,,No specific cutoff mentioned,,,,,Bangor University,,,,,Management (MBA),,,1 Years,,,Rs 16.4 Lakhs,,,,,,,,,"4,04,598","4,842",,,6,With no element below 5.5,,,Masters Program,,,"Bangor, UK",,,,,,,,,,,,,,,,,,56,With no element lower than 51,79,,,http://www.bangor.ac.uk/international/future/scholarship.php.en,"['', 'The University offers international merit scholarship worth £15000 for three years and additional to eligible Indian students \n', 'The University also offers Bangor Great Scholarship to the international students which values 1500-16500 pound in addition to any other scholarship awarded by Bangor University\nOther scholarship available to students is as follows-\n1. Electronic Engineering Scholarship\n', 'Three awards are given to international students on the basis of their academic performance which values 1500 pound for 3 years\n2. Chevening Scholarship\n', 'Three awards are given to international students on the basis of their academic performance which values 1500 pound for 3 years\n3. Bangor Bursary\n', 'The University offers Bangor bursaries of up to £1,500 a year for those from lower income families']",,,https://studyabroad.shiksha.com/uk/universities/bangor-university/management-mba,https://studyabroad.shiksha.com/uk/universities/bangor-university?refCourseId=196297,,,,,,"Rs. 4,04,598","Pound 4,842",,,,,,,No work experience mentioned
"Rs. 7,35,328","Pound 8,800",,,,,No specific cutoff mentioned,,,,,,,No specific cutoff mentioned,,,,,University of the West of Scotland,,,,,Master of Business Administration (MBA),,,1 Years,,,Rs 7.3 Lakhs,,,,,,,,,,,,,6,minimum of 5.5 in each component,,,Masters Program,,,"Paisley, UK",,,,,,,,,,,,,,,,,,,,80,,,,,,,https://studyabroad.shiksha.com/uk/universities/university-of-the-west-of-scotland/master-of-business-administration-mba,https://studyabroad.shiksha.com/uk/universities/university-of-the-west-of-scotland?refCourseId=200645,,,,,,,,,,,,,,No work experience mentioned
"12,07,442","14,450",,,,,55%,,,,,,,No specific cutoff mentioned,,,,,Keele University,,,,,MA Marketing,,,1-1.5 Years,,,Rs 16.3 Lakhs,,,,,,,,,"4,43,286","5,305",,,6.5,Minimum 5.5 in each section,,,Masters Program,,,"Keele, UK",,,,,,,,,,,,,,,,,,,,81,,,http://www.keele.ac.uk/international/thinkingofapplying/postgraduatetaughtmastersdegrees/tuitionfeesandscholarshipinformation/#tabs-9,"['Offers Keele International Student Scholarship, Chevening Scholarships and Keele Country Scholarships to students']",,,https://studyabroad.shiksha.com/uk/universities/keele-university/ma-marketing,https://studyabroad.shiksha.com/uk/universities/keele-university?refCourseId=198836,,,,,,"Rs. 4,43,286","Pound 5,305",,,,,,,
"9,60,940","11,500",,,,,60%,,,,,,,No specific cutoff mentioned,,,,,Canterbury Christ Church University,,,,,MBA,,,12 Months,,,Rs 12.6 Lakhs,,,,,,,,,"3,14,186","3,760",,,6.5,,,,Masters Program,,,"Canterbury, UK",,,,,,,,,,,,,,,,,,,,82,,,http://www.canterbury.ac.uk/study-here/international/international-funding-and-scholarships/internat,['Applicants who demonstrate the highest level of academic achievement.'],,,https://studyabroad.shiksha.com/uk/universities/canterbury-christ-church-university/mba,https://studyabroad.shiksha.com/uk/universities/canterbury-christ-church-university?refCourseId=212546,,,,,,"Rs. 3,14,186","Pound 3,760",,,,,,,
"10,86,280","13,000",,,,,6.00 GPA,"48,131",576,,,,,No specific cutoff mentioned,,,,,York St John University,,,,,MBA,,,1 Years,,,Rs 14.7 Lakhs,,,,,,,,,"3,50,367","4,193",,,6,"with min 5.5 in each area, and 6.0 in writing",,,Masters Program,,,"York, UK",,,,,,,,,,,,,,,,,,52,,83,,,,,,,https://studyabroad.shiksha.com/uk/universities/york-st-john-university/mba,https://studyabroad.shiksha.com/uk/universities/york-st-john-university?refCourseId=200429,,,,,,"Rs. 3,98,498","Pound 4,769",,,,,,,
"11,29,731","13,520",,,,,,"33,424",400,,,,,,,,,,University of Derby,,,,,MBA,,,1 Years,,,Rs 16.9 Lakhs,,,,,,,,,"5,06,457","6,061",,,6,With a minimum of 5.5 in each subset,,,Masters Program,,,"Derby, UK",,,,,,,,,,,,,,,,,,51,,84,,,,,,,https://studyabroad.shiksha.com/uk/universities/university-of-derby/mba,https://studyabroad.shiksha.com/uk/universities/university-of-derby?refCourseId=200607,,,,,,"Rs. 5,73,305","Pound 6,861","33,424",400,,,,,
"12,32,510","14,750",,,,,55%,"16,712",200,,,,,No specific cutoff mentioned,,,,,Middlesex University,,,,,MBA,,,1 Years,,,Rs 17.5 Lakhs,,,Accepted,"GMAT exam is not mandatory but it is recommended however a good balanced score would offer valid support to application
GMAT scores may be required only when the applicant doesn't have honours degree with a significantly successful managerial experience",,,,,"4,51,308","5,401",,,6.5,With a minimum score of 6.0 in all four components,,,Masters Program,,,"Middlesex, UK",,,,,,,,,,,,,,,,,,58,With a minimum score of 51 in all components,85,,,http://www.mdx.ac.uk/courses/fees-and-funding/scholarships-and-bursaries,['Middlesex University offers scholarships to international students based on applicants academic merit'],,,https://studyabroad.shiksha.com/uk/universities/middlesex-university/mba,https://studyabroad.shiksha.com/uk/universities/middlesex-university?refCourseId=201416,,,,,,"Rs. 5,30,690","Pound 6,351","62,670",750,,,,,2years
"Rs. 12,09,113","Pound 14,470",,,,,50%,,,,,,,No specific cutoff mentioned,,,,,University of Suffolk,,,,,Master of Business Administration,,,1 Years,,,Rs 12.0 Lakhs,,,,,,,,,,,,,6,minimum 5.5 in all components,,,Masters Program,,,"Suffolk, UK",,,,,,,,,,,,,,,,,,,,86,,,http://ucs.ac.uk/International/Scholarships.aspx,"['1.Chevening Scholarships- UK government’s global scholarships programme. They support students from over 110 different countries \n2.The Commonwealth Scholarship Commission in the United Kingdom (CSC) offers around 700 awards annually, mostly for students from developing countries to study']",,,https://studyabroad.shiksha.com/uk/universities/university-campus-suffolk/master-of-business-administration,https://studyabroad.shiksha.com/uk/universities/university-campus-suffolk?refCourseId=212571,,,,,,,,,,,,,,5years
"Rs. 11,65,662","Pound 13,950",,,,,No specific cutoff mentioned,,,,,,,No specific cutoff mentioned,,,,,Staffordshire University,,,,,Master of Business Administration,,,1 Years,,,Rs 11.5 Lakhs,,,,,,,,,,,,,6.5,"With a minimum 6.0 in all categories e.g. Speaking, Writing, Reading and Listening",,,Masters Program,,,"Stoke-on-Trent, UK",,,,,,,,,,,,,,,,,,,,87,,,http://www.staffs.ac.uk/international/fees_and_scholarships/#fees,"['', "" University believes in making Higher Education as affordable as possible that's why they have introduced the Vice Chancellor’s International Scholarship""]",,,https://studyabroad.shiksha.com/uk/universities/staffordshire-university/mba,https://studyabroad.shiksha.com/uk/universities/staffordshire-university?refCourseId=209862,,,,,,,,,,,,,,No work experience mentioned
"11,69,840","14,000",,,,,,"44,287",530,,,,,,,,,,University of Hertfordshire,,,,,MBA,,,2 Years,,,Rs 22.8 Lakhs,,,,,,,,,"5,38,962","6,450",,,6.5,,,,Masters Program,,,"Hatfield, UK","83,560",,,"1,000",,,,,,,,,,,"83,560","1,000","['IBM', 'JP Morgan Chase', 'SCHNEIDER ELECTRIC', 'HSBC', 'Ford Motors']",58,,88,,,http://www.herts.ac.uk/__data/assets/pdf_file/0003/56775/MBA-40-Professional-Scholarships-Guidelines-TC-2014-15.pdf,"['', 'MBA Professional Scholarship-The MBA Professional Scholarship is a competitive scholarship worth up to 40% reduction in MBA tuition fees\n', 'Professional Alumni MBA Scholarship-For those who have previously studied at the University of Hertfordshire, university offer an exceptional 40% reduction in tuition fees for the MBA programme']","33,424",400,https://studyabroad.shiksha.com/uk/universities/university-of-hertfordshire/mba,https://studyabroad.shiksha.com/uk/universities/university-of-hertfordshire?refCourseId=212737,,,,,,"Rs. 11,32,656","Pound 13,555","83,560","1,000",,,,,
"11,69,840","14,000",,,,,No specific cutoff mentioned,"12,283",147,,,,,No specific cutoff mentioned,,,,,Aberystwyth University,,,,,Masters in Management and Marketing,,,1 Years,,,Rs 15.9 Lakhs,,,,,,,,,"3,10,927","3,721",,,6.5,Minimum 5.5 in each component,,,Masters Program,,,"Swansea, UK",,,,,,,,,,,,,,,"1,08,962","1,304",,62,With minimum scores of 51 in each component,89,,,http://www.aber.ac.uk/en/scholarships-bursaries/scholarships/,"['University assist students through the annual award of about 50 Entrance Scholarships and some 250 Merit Awards.\n\nStudents who successfully complete an IEC International Foundation Programme at the level required for entry into their department at Aberystwyth University will receive a £2,000 a year reduction on undergraduate fees, up to a total of £6,000.']",,,https://studyabroad.shiksha.com/uk/universities/aberystwyth-university/masters-in-marketing,https://studyabroad.shiksha.com/uk/universities/aberystwyth-university?refCourseId=209855,,,,,,"Rs. 4,32,172","Pound 5,172",,,,,,,No work experience mentioned
"10,86,280","13,000",,,,,50%,,,,,,,No specific cutoff mentioned,,,,,Edge Hill University,,,,,MBA,,,12 Months,,,Rs 14.2 Lakhs,,,,,,,,,"3,50,952","4,200",,,6.5,"Minimum 5.5 in each element (listening, speaking, reading and writing)",,,Masters Program,,,"Ormskirk, UK",,,,,,,,,,,,,,,,,,,,90,,,http://www.edgehill.ac.uk/international/fees/scholarships/,['Offers the Postgraduate Excellence Scholarship and the prestigious Tamil Nadu Study Abroad Scholarship Scheme run in collaboration with TANSCHE and the British Council Chennai'],,,https://studyabroad.shiksha.com/uk/universities/edge-hill-university/mba,https://studyabroad.shiksha.com/uk/universities/edge-hill-university?refCourseId=198322,,,,,,"Rs. 3,50,952","Pound 4,200",,,,,,,No work experience mentioned
"11,28,060","13,500",,,,,No specific cutoff mentioned,,,,,,,No specific cutoff mentioned,,,,,Queen Margaret University,,,,,MBA,,,1 Years,,,Rs 16.9 Lakhs,,,,,,,,,"4,13,622","4,950",,,6.5,no individual component score less than 6.0,,,Masters Program,,,"Edinburgh, UK","1,67,120",,,"2,000",,,,,,,,,,,,,,,,91,,,http://www.qmu.ac.uk/international/fees_funding.htm#scholarships,['The University has a number of scholarships available'],,,https://studyabroad.shiksha.com/uk/universities/queen-margaret-university/mba,https://studyabroad.shiksha.com/uk/universities/queen-margaret-university?refCourseId=212598,,,,,,"Rs. 5,80,742","Pound 6,950",,,,,,,
"14,97,395","17,920",,,,,60%,,,,,,,No specific cutoff mentioned,,,,,University of The Arts London,,,,,MA Strategic Fashion Marketing,,,1 Years,,,Rs 21.5 Lakhs,,,,,,,,,"4,81,556","5,763",,,7,With a minimum of 6.0 in any one skill,,,Masters Program,,,"London, UK","1,91,770",,"2,295",,,,,,,,,,,,,,,,,92,,,http://www.arts.ac.uk/study-at-ual/student-fees--funding/postgraduate-taught-funding/postgraduate-scholarships-bursaries--awards/postgraduate-scholarships/,['Offers the Tara Nirula International Students House (ISH) Scholarship to international students which is a combined tuition fee and residential scholarship'],,,https://studyabroad.shiksha.com/uk/universities/university-of-the-arts-london/ma-strategic-fashion-marketing,https://studyabroad.shiksha.com/uk/universities/university-of-the-arts-london?refCourseId=199306,,,,,,"Rs. 6,73,326","Pound 8,058",,,,,,,3years
"12,11,620","14,500",,,,,53%,,,,,,,No specific cutoff mentioned,,,,,London South Bank University,,,,,Master of Business Administration MBA,,,1 Years,,,Rs 16.0 Lakhs,,,,,,,,,"4,07,773","4,880",,,6.5,"With at least 5.5 in each skill
area",,,Masters Program,,,"London, UK",,,,,,,,,,,,,,,,,,,,93,,,,,,,https://studyabroad.shiksha.com/uk/universities/london-south-bank-university/master-of-business-administration-mba,https://studyabroad.shiksha.com/uk/universities/london-south-bank-university?refCourseId=199141,,,,,,"Rs. 4,07,773","Pound 4,880",,,,,,,3years
