1st Year Fee in USD,1st Year Total Fee,1st year Fee in INR,Academic Excellence & Success Fee INR ,Academic Excellence & Success Fee USD ,Academic Excellence Fee INR ,Academic Excellence Fee USD ,Academic Facilities Fee INR ,Academic Facilities Fee USD ,Academic Fees INR ,Academic Fees USD ,Academic Records Fee INR ,Academic Records Fee USD ,Accommodation Reservation Charge INR ,Accommodation Reservation Charge USD ,Accommodation Service Fee INR ,Accommodation Service Fee USD ,Accomodation Offered,Ackerman/Kerckhoff Seismic Fee INR ,Ackerman/Kerckhoff Seismic Fee USD ,Activity & Service fee INR ,Activity & Service fee USD ,Activity Fee INR ,Activity Fee USD ,Activity Fees INR ,Activity Fees USD ,Additional Assessment Fee INR ,Additional Assessment Fee USD ,Additional fee INR ,Additional fee USD ,Administrative Fee INR ,Administrative Fee USD ,Advising & Assessment Fee INR ,Advising & Assessment Fee USD ,Application Fee INR ,Application Fee USD ,Application Fees INR ,Application Fees USD ,Application fee INR ,Application fee USD ,Associated Student Body Fee INR ,Associated Student Body Fee USD ,Associated Students Inc INR ,Associated Students Inc USD ,Athletic Fee INR ,Athletic Fee USD ,Athletic fee INR ,Athletic fee USD ,Bachelors,Between Semesters INR ,Between Semesters USD ,Books & Supplies INR ,Books & Supplies USD ,Books INR ,Books USD ,Books and Supplies INR ,Books and Supplies USD ,Books and Supplies fee INR ,Books and Supplies fee USD ,Books and supplies INR ,Books and supplies USD ,Books/Supplies INR ,Books/Supplies USD ,Books/Supplies/Transport/Personal INR ,Books/Supplies/Transport/Personal USD ,Books/supplies/other expenses INR ,Books/supplies/other expenses USD ,Building Fee INR ,Building Fee USD ,COE Program Enhancement Fee INR ,COE Program Enhancement Fee USD ,Campus Based Fees INR ,Campus Based Fees USD ,Campus Fee INR ,Campus Fee USD ,Campus Fees INR ,Campus Fees USD ,Campus Life Fee INR ,Campus Life Fee USD ,Campus Rec Facility Fee INR ,Campus Rec Facility Fee USD ,Campus Union Fee INR ,Campus Union Fee USD ,Campus security Fee INR ,Campus security Fee USD ,Capital Construction Fee INR ,Capital Construction Fee USD ,Class 12th,Clothing/ Maintenance INR ,Clothing/ Maintenance USD ,College Fee INR ,College Fee USD ,Commencement Fee INR ,Commencement Fee USD ,Comprehensive Fee INR ,Comprehensive Fee USD ,Computer / Technology Fee INR ,Computer / Technology Fee USD ,Computer Purchase INR ,Computer Purchase USD ,Computer/Cell Phone INR ,Computer/Cell Phone USD ,Computing and Network Services INR ,Computing and Network Services USD ,CourseName,Discipline Fee INR ,Discipline Fee USD ,Document Evaluation INR ,Document Evaluation USD ,Document Fee INR ,Document Fee USD ,Duration,Early Childhood Edu Center Fee INR ,Early Childhood Edu Center Fee USD ,Engineering Activity Fee INR ,Engineering Activity Fee USD ,Engineering Equipment Fee INR ,Engineering Equipment Fee USD ,Engineering Fee INR ,Engineering Fee USD ,Engineering tuition surcharge INR ,Engineering tuition surcharge USD ,Enrollment Deposit INR ,Enrollment Deposit USD ,Enrollment Fee INR ,Enrollment Fee USD ,Enrollment deposit fee INR ,Enrollment deposit fee USD ,Facilities Fee INR ,Facilities Fee USD ,Fees INR ,Fees USD ,GRE,GRE Recommendation,General Activity Fee INR ,General Activity Fee USD ,General Fee INR ,General Fee USD ,Government Fee INR ,Government Fee USD ,Graduate Differential Fee INR ,Graduate Differential Fee USD ,Graduate Entering Fee INR ,Graduate Entering Fee USD ,Graduate General Fee INR ,Graduate General Fee USD ,Graduate Program Enhancement Fees INR ,Graduate Program Enhancement Fees USD ,Graduate Program Fee INR ,Graduate Program Fee USD ,Graduate Senate Tax INR ,Graduate Senate Tax USD ,Graduate Student Activity Fee INR ,Graduate Student Activity Fee USD ,Graduate Student Association Fee INR ,Graduate Student Association Fee USD ,Health Care Allowance INR ,Health Care Allowance USD ,Health Center Fee INR ,Health Center Fee USD ,Health Fee INR ,Health Fee USD ,Health Service Fee INR ,Health Service Fee USD ,Health Services Fee INR ,Health Services Fee USD ,Health and Counseling Center Fee INR ,Health and Counseling Center Fee USD ,Health and Wellness Fee INR ,Health and Wellness Fee USD ,Health fee INR ,Health fee USD ,Hostel & Meals INR ,Hostel & Meals USD ,Housing Application Fee INR ,Housing Application Fee USD ,Housing Application Fees INR ,Housing Application Fees USD ,Housing Deposit INR ,Housing Deposit USD ,Housing Fee INR ,Housing Fee USD ,IELTS,IELTS Recommendation,IT Service and Maintenance Fee INR ,IT Service and Maintenance Fee USD ,ITIE Fee INR ,ITIE Fee USD ,Incidentals INR ,Incidentals USD ,Information Technology Fee INR ,Information Technology Fee USD ,Information tech fee INR ,Information tech fee USD ,Insurance INR ,Insurance USD ,Intercollegiate Athletics Fee INR ,Intercollegiate Athletics Fee USD ,International Fee INR ,International Fee USD ,International Infrastructural Fee INR ,International Infrastructural Fee USD ,International Services Charge INR ,International Services Charge USD ,International Student Enrollment Fe INR ,International Student Enrollment Fe USD ,International Student Fee INR ,International Student Fee USD ,International Student Service Fee INR ,International Student Service Fee USD ,International student fee INR ,International student fee USD ,Lab Fee INR ,Lab Fee USD ,Laboratory Fees INR ,Laboratory Fees USD ,Level,Library & IT Fee INR ,Library & IT Fee USD ,Library Automation & Technology Fee INR ,Library Automation & Technology Fee USD ,Library Fee INR ,Library Fee USD ,Library Services Fee INR ,Library Services Fee USD ,Living Expenses INR ,Living Expenses USD ,Living expenses INR ,Living expenses USD ,Maintenance Fee INR ,Maintenance Fee USD ,Maintenance of Matriculation Fee INR ,Maintenance of Matriculation Fee USD ,Mandatory Fees INR ,Mandatory Fees USD ,Mandatory Health Fee INR ,Mandatory Health Fee USD ,Mandatory fees INR ,Mandatory fees USD ,Material & Supply Fee INR ,Material & Supply Fee USD ,Matriculation Fee INR ,Matriculation Fee USD ,Medical Plans INR ,Medical Plans USD ,Medical Service Fee INR ,Medical Service Fee USD ,Miscellaneous Expense INR ,Miscellaneous Expense USD ,Miscellaneous Fee INR ,Miscellaneous Fee USD ,Miscellaneous Fees INR ,Miscellaneous Fees USD ,Miscellaneous INR ,Miscellaneous USD ,Miscellaneous and Personal Expense INR ,Miscellaneous and Personal Expense USD ,Miscellaneous expense INR ,Miscellaneous expense USD ,Miscellaneous expenses INR ,Miscellaneous expenses USD ,Miscellaneous fee INR ,Miscellaneous fee USD ,Miscellaneous/Personal INR ,Miscellaneous/Personal USD ,New Student Fee INR ,New Student Fee USD ,New international student fee INR ,New international student fee USD ,Non resident financial aid fee INR ,Non resident financial aid fee USD ,One to One Fitness INR ,One to One Fitness USD ,Orientation Fee INR ,Orientation Fee USD ,Other Costs INR ,Other Costs USD ,Other Mandatory fees INR ,Other Mandatory fees USD ,Other expenses INR ,Other expenses USD ,Other fees INR ,Other fees USD ,PTE,PTE Recommendation,Personal & Misc. INR ,Personal & Misc. USD ,Personal & Miscellaneous INR ,Personal & Miscellaneous USD ,Personal / Misc INR ,Personal / Misc USD ,Personal Expenses INR ,Personal Expenses USD ,Personal INR ,Personal USD ,Personal expense INR ,Personal expense USD ,Personal expenses INR ,Personal expenses USD ,Personal/ travel Expenses INR ,Personal/ travel Expenses USD ,Personal/Miscellaneous INR ,Personal/Miscellaneous USD ,Private/Public,Program Fee INR ,Program Fee USD ,Property Deposit Fee INR ,Property Deposit Fee USD ,Rec Sports Fee INR ,Rec Sports Fee USD ,Records Initiation Fee INR ,Records Initiation Fee USD ,Recreation Center Expansion Fee INR ,Recreation Center Expansion Fee USD ,Recreation Center Fee INR ,Recreation Center Fee USD ,Recreation Fee INR ,Recreation Fee USD ,Recreation and Wellness Center Fee INR ,Recreation and Wellness Center Fee USD ,Reg Fee INR ,Reg Fee USD ,Registration Fee INR ,Registration Fee USD ,Registration and services fee INR ,Registration and services fee USD ,Required Fees INR ,Required Fees USD ,SPARC Fee INR ,SPARC Fee USD ,Schol Link,Schol Text,Scholarship Offered,School Fee INR ,School Fee USD ,School Supplies & Misc INR ,School Supplies & Misc USD ,"Security, Safety, and Transportatio INR ","Security, Safety, and Transportatio USD ",Service Fee INR ,Service Fee USD ,Special Service Fee INR ,Special Service Fee USD ,Student Activity Fee INR ,Student Activity Fee USD ,Student Affairs Fee INR ,Student Affairs Fee USD ,Student Assessment Fee INR ,Student Assessment Fee USD ,Student Athletic Fee INR ,Student Athletic Fee USD ,Student Athletics Fee INR ,Student Athletics Fee USD ,Student Center Fee INR ,Student Center Fee USD ,Student Computing Fee INR ,Student Computing Fee USD ,Student Development Fee INR ,Student Development Fee USD ,Student Excellence Fee INR ,Student Excellence Fee USD ,Student Facility Fee INR ,Student Facility Fee USD ,Student Fees INR ,Student Fees USD ,Student Financial Aid fee INR ,Student Financial Aid fee USD ,Student Health Fee INR ,Student Health Fee USD ,Student Health Services INR ,Student Health Services USD ,Student Life Fee INR ,Student Life Fee USD ,Student Orientation fee INR ,Student Orientation fee USD ,Student Programs Fee INR ,Student Programs Fee USD ,Student Programs and Services Fee INR ,Student Programs and Services Fee USD ,Student Service Facility Fee INR ,Student Service Facility Fee USD ,Student Service Fee INR ,Student Service Fee USD ,Student Services Fee INR ,Student Services Fee USD ,Student Success Fee INR ,Student Success Fee USD ,Student Union Fee INR ,Student Union Fee USD ,Student Union fee INR ,Student Union fee USD ,Sustainability fee INR ,Sustainability fee USD ,Swinney Rec fee INR ,Swinney Rec fee USD ,TOEFL,TOEFL Recommendation,Tech Fee INR ,Tech Fee USD ,Technology Fee INR ,Technology Fee USD ,Technology Fees INR ,Technology Fees USD ,Technology Infrastructure Fee INR ,Technology Infrastructure Fee USD ,Technology fee INR ,Technology fee USD ,Telephone/Cell Phone INR ,Telephone/Cell Phone USD ,Textbooks INR ,Textbooks USD ,Thesis Processing Fee INR ,Thesis Processing Fee USD ,Total INR ,Total USD ,Transport/Miscellaneous INR ,Transport/Miscellaneous USD ,Transportation Fee INR ,Transportation Fee USD ,Transportation INR ,Transportation USD ,Tuition Deposit INR ,Tuition Deposit USD ,UPass Fee INR ,UPass Fee USD ,URL,University Center Fee INR ,University Center Fee USD ,University Charge INR ,University Charge USD ,University Facilities Fee INR ,University Facilities Fee USD ,University Services Fee INR ,University Services Fee USD ,University Student Union INR ,University Student Union USD ,University and Student Fees INR ,University and Student Fees USD ,University-Student Union INR ,University-Student Union USD ,Wellness Center Fee INR ,Wellness Center Fee USD ,Wellness Fee INR ,Wellness Fee USD ,Work experience
"14,938",Rs 22.8 Lakhs,"9,65,742",,,,,,,,,,,"24,244",375,"2,586",40,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 GPA,,,"1,17,534","1,818",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Mechanical Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,300,Students who have exceptionally high Quantitative GRE scores (above 160) are encouraged to apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,86,287","13,709",,,,,,,,,6.5,,,,,,,,,,,,"85,985","1,330",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"91,544","1,416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,http://go.sdsu.edu/student_affairs/financialaid/fafsa.aspx,"['Students of all class levels should complete the Free Application for Federal Student Aid (FAFSA) to be considered for all types of state and federal aid: grants, work study, student and parent loans and scholarships']",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,"Rs. 13,16,145","USD 20,358",,,,,"1,07,966","1,670",,,,,https://studyabroad.shiksha.com/usa/universities/san-diego-state-university/master-of-science-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"49,560",Rs 47.5 Lakhs,"32,04,054",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,"80,166","1,240.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Engineering in Mechanical Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,617",752,,,,,,,,,,,"8,61,267","13,322",,,,,,,,,,,,,,,,,,,,,"1,93,627","2,995",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,206",96,,,,,,,,,,,,,,,,,,,,,,,,,"2,21,103","3,420",,,,,,,,,,,,,,,Private,,,,,,,,,,,,,"17,714",274,,,,,,,,,,,,,https://karshscholars.duke.edu/,"['', 'The University offers Karsh merit-based full scholarship for international students at Duke University\n', 'Scholarships cover tuition, room and board, mandatory fees, and demonstrated need that exceeds those costs']",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,"Rs. 15,41,579","USD 23,845",,,,,"1,12,879","1,746",,,,,https://studyabroad.shiksha.com/usa/universities/duke-university/master-of-engineering-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"18,636",Rs 21.9 Lakhs,"12,04,817",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,"4,202",65,,,,,,,,,,,3.00 GPA,,,"71,115","1,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Mining Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,"2,18,000","3,372",Accepted,GRE recommended but not required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,14,407","6,410",,,,,,,,,6.5,,,,,,,,,,,,"84,045","1,300",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,"1,90,136","2,941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,http://gradschool.siu.edu/cost-aid/internal-funding.html,['SIU Graduate School Tuition Scholarship is provided to assist students who have attained high levels of academic achievement.\nA limited number of tuition scholarships are available to\ninternational students who have completed at least one full year at SIUC.\nThese awards are granted on a competitive basis.'],Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,"Rs. 9,81,904","USD 15,188",,,,,,,,,,,https://studyabroad.shiksha.com/usa/universities/southern-illinois-university/master-of-science-in-mining-engineering,,,,,,,,,,,,,,,,,,,
"25,540",Rs 26.1 Lakhs,"16,51,161",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 GPA,,,,,,,,,,,"96,975","1,500",,,,,,,,,,,,,,,,,"33,230",514,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Mechanical Engineering,,,,,,,2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,,,,"51,461",796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,43,060","8,400",,,,,,,,,6.5,,,,"23,791",368,,,,,,,"1,47,402","2,280",,,,,,,,,,,"16,163",250,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,495",85,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,"Rs. 9,57,143","USD 14,805",,,,,"39,566",612,,,,,https://studyabroad.shiksha.com/usa/universities/university-of-cincinnati/master-of-science-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"17,158",Rs 19.6 Lakhs,"11,09,265",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,"3,879",60,,,,,,,,,,,,,2.70 GPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Mechanical Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,03,392","10,880",,,,,,,,,6.5,,,,,,,,,,,,"1,34,343","2,078",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,081",125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,"Rs. 8,49,695","USD 13,143",,,,,,,,,,,https://studyabroad.shiksha.com/usa/universities/northern-illinois-university/master-of-science-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"43,560",Rs 35.4 Lakhs,"28,16,154",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 GPA,,,,,,,,,,,,,,,"1,30,852","2,024",,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Mechanical Engineering,,,,,,,1.5 - 2 Years,,,,,,,,,,,,,,,,,,,,,302,Score of 3.0 required in analytical writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,61,730","7,142",,,,,,,,,6.5,,,,,,,,,,,,"1,17,792","1,822",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.rit.edu/emcs/financialaid/graduate_international.html#scholarships,"['', ' Scholar ships are available to international graduate students']",No,,,,,,,,,,,"18,102",280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,"Rs. 7,28,476","USD 11,268",,,,,,,,,,,https://studyabroad.shiksha.com/usa/universities/rochester-institute-of-technology/master-of-science-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"27,396",Rs 28.4 Lakhs,"17,71,151",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,"92,514","1,431",,,,,,,,,,,,,,,"61,676",954,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Mechanical Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,"2,03,648","3,150",,,,,,,,,,,,,,,"4,93,926","7,640",,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,24,516","1,926",,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.finaid.ucsb.edu/scholarships,['Private Scholarships are offered to international students'],Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,"23,080",357,,,,,"Rs. 10,65,885","USD 16,487",,,,,"66,525","1,029",,,,,https://studyabroad.shiksha.com/usa/universities/university-of-california-santa-barbara/master-of-science-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"28,128",Rs 30.4 Lakhs,"18,18,475",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,,,,,,,,,"1,05,703","1,635",,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Mechanical and Aerospace Engineering,,,,,,,1 Years,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,85,137","15,238",,,,,,,,,7,,,,,,,,,,,,"1,26,908","1,963",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"8,211",127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,"Minimum scores in each section are: Writing 22, Speaking 23, Reading 21, Listening 17",,,,,,,,,,,,,,,,,"Rs. 12,25,958","USD 18,963",,,,,,,,,,,https://studyabroad.shiksha.com/usa/universities/rutgers-university/master-of-science-in-mechanical-and-aerospace-engineering,,,,,,,,,,,,,,,,,,,
"27,408",Rs 20.4 Lakhs,"17,71,927",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 GPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,MS in Mechanical Engineering,,,,,,,2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,"Verbal- 150 (450 old scale), Quantitative- 155 (700 old scale)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,"1,64,664","2,547",,,,,,,,,,,"48,488",750,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,"5,172",80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,498",348,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,"25,860",400,,,,,,,,,,,,,"Rs. 2,66,681","USD 4,125",,,,,,,,,,,https://studyabroad.shiksha.com/usa/universities/university-of-south-carolina/ms-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"13,115",Rs 17.6 Lakhs,"8,47,885",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 GPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,MSE in Mechanical Engineering,,,,,,,1.5 to 2 Years,,,,,,,,,,,,,,,,,,,"54,371",841,Accepted,Minimum quantitative score of 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,"99,884","1,545",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,"6,46,500","10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.fresnostate.edu/studentaffairs/scholarships/index.html,['University provides scholarships to International students based on their academic performnaces'],Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,"1,15,982","1,794",,,"Rs. 9,16,737","USD 14,180",,,,,,,,,,,https://studyabroad.shiksha.com/usa/universities/california-state-university-fresno-campus/mse-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"18,125",Rs 19.6 Lakhs,"11,71,781","30,709",475,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 GPA,,,,,"58,185",900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,"3,233",50,,,,,,,,,,,,,Master of Science in Mechanical Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,57,024","8,616",,,,,,,,,6.5,With no subsection recommended to be below 6,,,,,,,,,,,"84,174","1,302",,,,,,,,,,,,,"6,465",100,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,"32,584",504,,,,,,,,,,,,,"Rs. 7,90,734","USD 12,231",,,,,"18,361",284,,,,,https://studyabroad.shiksha.com/usa/universities/stony-brook-university/master-of-science-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"13,964",Rs 21.3 Lakhs,"9,02,773",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,"3,556",55,,,,,,,,,,,,,No specific cutoff mentioned,,,"1,19,861","1,854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,MS in Mechanical Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,"94,518","1,462",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,00,432","12,381",,,,,,,,,7,,,,,,,,,,,,"65,297","1,010",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"93,743","1,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,"Rs. 12,31,583","USD 19,050",,,,,"54,177",838,,,,,https://studyabroad.shiksha.com/usa/universities/california-state-university-sacramento/ms-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
